x q2 Enu #nu
0.000133352 0.0562341 0 0
0.000133352 0.177828 0 0
0.000133352 0.562341 0 0
0.000133352 1.77828 0 0
0.000133352 5.62341 0 0
0.000133352 17.7828 0 0
0.000133352 56.2341 0 0
0.000133352 177.828 0 0
0.000133352 562.341 0 0
0.000133352 1778.28 0 0
0.000237137 0.0562341 0 0
0.000237137 0.177828 0 0
0.000237137 0.562341 0 0
0.000237137 1.77828 0 0
0.000237137 5.62341 0 0
0.000237137 17.7828 0 0
0.000237137 56.2341 0 0
0.000237137 177.828 0 0
0.000237137 562.341 0 0
0.000237137 1778.28 0 0
0.000421697 0.0562341 0 0
0.000421697 0.177828 0 0
0.000421697 0.562341 0 0
0.000421697 1.77828 0 0
0.000421697 5.62341 0 0
0.000421697 17.7828 0 0
0.000421697 56.2341 0 0
0.000421697 177.828 0 0
0.000421697 562.341 0 0
0.000421697 1778.28 0 0
0.000749894 0.0562341 46.9496 813.138
0.000749894 0.177828 0 0
0.000749894 0.562341 0 0
0.000749894 1.77828 0 0
0.000749894 5.62341 0 0
0.000749894 17.7828 0 0
0.000749894 56.2341 0 0
0.000749894 177.828 0 0
0.000749894 562.341 0 0
0.000749894 1778.28 0 0
0.00133352 0.0562341 0 0
0.00133352 0.177828 106.172 813.144
0.00133352 0.562341 0 0
0.00133352 1.77828 0 0
0.00133352 5.62341 0 0
0.00133352 17.7828 0 0
0.00133352 56.2341 0 0
0.00133352 177.828 0 0
0.00133352 562.341 0 0
0.00133352 1778.28 0 0
0.00237137 0.0562341 0 0
0.00237137 0.177828 99.3803 1626.29
0.00237137 0.562341 80.7076 1256.92
0.00237137 1.77828 0 0
0.00237137 5.62341 0 0
0.00237137 17.7828 0 0
0.00237137 56.2341 0 0
0.00237137 177.828 0 0
0.00237137 562.341 0 0
0.00237137 1778.28 0 0
0.00421697 0.0562341 23.782 2439.45
0.00421697 0.177828 57.1214 2439.42
0.00421697 0.562341 107.257 3252.6
0.00421697 1.77828 0 0
0.00421697 5.62341 0 0
0.00421697 17.7828 0 0
0.00421697 56.2341 0 0
0.00421697 177.828 0 0
0.00421697 562.341 0 0
0.00421697 1778.28 0 0
0.00749894 0.0562341 8.99508 1237.55
0.00749894 0.177828 59.4941 6841.94
0.00749894 0.562341 69.846 8131.47
0.00749894 1.77828 98.127 4065.72
0.00749894 5.62341 0 0
0.00749894 17.7828 0 0
0.00749894 56.2341 0 0
0.00749894 177.828 0 0
0.00749894 562.341 0 0
0.00749894 1778.28 0 0
0.0133352 0.0562341 17.6403 5644.31
0.0133352 0.177828 29.7576 9589.27
0.0133352 0.562341 47.9058 22495.6
0.0133352 1.77828 85.8039 10909
0.0133352 5.62341 218.908 813.14
0.0133352 17.7828 0 0
0.0133352 56.2341 0 0
0.0133352 177.828 0 0
0.0133352 562.341 0 0
0.0133352 1778.28 0 0
0.0237137 0.0562341 4.48568 7511.12
0.0237137 0.177828 25.1983 25170.6
0.0237137 0.562341 44.6682 52442
0.0237137 1.77828 70.1676 56881.9
0.0237137 5.62341 114.72 9411.52
0.0237137 17.7828 0 0
0.0237137 56.2341 0 0
0.0237137 177.828 0 0
0.0237137 562.341 0 0
0.0237137 1778.28 0 0
0.0421697 0.0562341 10.0228 5691.99
0.0421697 0.177828 18.8066 45488.1
0.0421697 0.562341 33.7265 87697.6
0.0421697 1.77828 62.606 118482
0.0421697 5.62341 95.0053 72375.8
0.0421697 17.7828 194.734 6505.13
0.0421697 56.2341 0 0
0.0421697 177.828 0 0
0.0421697 562.341 0 0
0.0421697 1778.28 0 0
0.0749894 0.0562341 5.2355 7318.3
0.0749894 0.177828 11.891 60427.8
0.0749894 0.562341 24.9516 166175
0.0749894 1.77828 42.3764 262845
0.0749894 5.62341 70.1801 232663
0.0749894 17.7828 118.109 50669
0.0749894 56.2341 0 0
0.0749894 177.828 0 0
0.0749894 562.341 0 0
0.0749894 1778.28 0 0
0.133352 0.0562341 2.77595 2439.45
0.133352 0.177828 11.872 39241.9
0.133352 0.562341 17.9376 244763
0.133352 1.77828 32.077 446754
0.133352 5.62341 54.6284 508529
0.133352 17.7828 95.985 275790
0.133352 56.2341 175.507 13010.3
0.133352 177.828 0 0
0.133352 562.341 0 0
0.133352 1778.28 0 0
0.237137 0.0562341 2.07543 813.151
0.237137 0.177828 8.69673 27794
0.237137 0.562341 12.2489 262335
0.237137 1.77828 26.8068 624948
0.237137 5.62341 42.3965 746595
0.237137 17.7828 74.5103 617316
0.237137 56.2341 120.073 112620
0.237137 177.828 232.989 813.138
0.237137 562.341 0 0
0.237137 1778.28 0 0
0.421697 0.0562341 0 0
0.421697 0.177828 8.39572 3683.99
0.421697 0.562341 9.37477 118731
0.421697 1.77828 21.097 447670
0.421697 5.62341 33.0304 639391
0.421697 17.7828 55.0703 656374
0.421697 56.2341 95.5527 279396
0.421697 177.828 172.798 13823.4
0.421697 562.341 0 0
0.421697 1778.28 0 0
0.749894 0.0562341 0 0
0.749894 0.177828 0 0
0.749894 0.562341 4.20547 21909.1
0.749894 1.77828 13.9162 97350.3
0.749894 5.62341 25.5167 167245
0.749894 17.7828 43.3418 157172
0.749894 56.2341 72.9332 92632.6
0.749894 177.828 134.004 10570.9
0.749894 562.341 0 0
0.749894 1778.28 0 0
1.33352 0.0562341 0 0
1.33352 0.177828 0 0
1.33352 0.562341 3.50819 1578.57
1.33352 1.77828 2.50197 2200.87
1.33352 5.62341 13.0849 4065.75
1.33352 17.7828 45.1013 1626.3
1.33352 56.2341 0 0
1.33352 177.828 0 0
1.33352 562.341 0 0
1.33352 1778.28 0 0
2.37137 0.0562341 0 0
2.37137 0.177828 0 0
2.37137 0.562341 0 0
2.37137 1.77828 0 0
2.37137 5.62341 0 0
2.37137 17.7828 0 0
2.37137 56.2341 0 0
2.37137 177.828 0 0
2.37137 562.341 0 0
2.37137 1778.28 0 0
4.21697 0.0562341 0 0
4.21697 0.177828 0 0
4.21697 0.562341 0 0
4.21697 1.77828 0 0
4.21697 5.62341 0 0
4.21697 17.7828 0 0
4.21697 56.2341 0 0
4.21697 177.828 0 0
4.21697 562.341 0 0
4.21697 1778.28 0 0
7.49894 0.0562341 0 0
7.49894 0.177828 0 0
7.49894 0.562341 0 0
7.49894 1.77828 0 0
7.49894 5.62341 0 0
7.49894 17.7828 0 0
7.49894 56.2341 0 0
7.49894 177.828 0 0
7.49894 562.341 0 0
7.49894 1778.28 0 0
