x q2 Enu #nu
0.000133352 0.0562341 0 0
0.000133352 0.177828 0 0
0.000133352 0.562341 0 0
0.000133352 1.77828 0 0
0.000133352 5.62341 0 0
0.000133352 17.7828 0 0
0.000133352 56.2341 0 0
0.000133352 177.828 0 0
0.000133352 562.341 0 0
0.000133352 1778.28 0 0
0.000237137 0.0562341 0 0
0.000237137 0.177828 0 0
0.000237137 0.562341 0 0
0.000237137 1.77828 0 0
0.000237137 5.62341 0 0
0.000237137 17.7828 0 0
0.000237137 56.2341 0 0
0.000237137 177.828 0 0
0.000237137 562.341 0 0
0.000237137 1778.28 0 0
0.000421697 0.0562341 103.555 33.0328
0.000421697 0.177828 0 0
0.000421697 0.562341 0 0
0.000421697 1.77828 0 0
0.000421697 5.62341 0 0
0.000421697 17.7828 0 0
0.000421697 56.2341 0 0
0.000421697 177.828 0 0
0.000421697 562.341 0 0
0.000421697 1778.28 0 0
0.000749894 0.0562341 54.9228 66.0656
0.000749894 0.177828 0 0
0.000749894 0.562341 0 0
0.000749894 1.77828 0 0
0.000749894 5.62341 0 0
0.000749894 17.7828 0 0
0.000749894 56.2341 0 0
0.000749894 177.828 0 0
0.000749894 562.341 0 0
0.000749894 1778.28 0 0
0.00133352 0.0562341 53.5207 148.648
0.00133352 0.177828 115.992 145.568
0.00133352 0.562341 0 0
0.00133352 1.77828 0 0
0.00133352 5.62341 0 0
0.00133352 17.7828 0 0
0.00133352 56.2341 0 0
0.00133352 177.828 0 0
0.00133352 562.341 0 0
0.00133352 1778.28 0 0
0.00237137 0.0562341 52.9664 332.454
0.00237137 0.177828 79.3111 247.745
0.00237137 0.562341 0 0
0.00237137 1.77828 0 0
0.00237137 5.62341 0 0
0.00237137 17.7828 0 0
0.00237137 56.2341 0 0
0.00237137 177.828 0 0
0.00237137 562.341 0 0
0.00237137 1778.28 0 0
0.00421697 0.0562341 34.7798 556.355
0.00421697 0.177828 48.6274 555.697
0.00421697 0.562341 100.78 407.936
0.00421697 1.77828 0 0
0.00421697 5.62341 0 0
0.00421697 17.7828 0 0
0.00421697 56.2341 0 0
0.00421697 177.828 0 0
0.00421697 562.341 0 0
0.00421697 1778.28 0 0
0.00749894 0.0562341 27.9318 596.065
0.00749894 0.177828 41.7348 1239.07
0.00749894 0.562341 75.2475 1212.72
0.00749894 1.77828 130.038 488.54
0.00749894 5.62341 250.759 16.5163
0.00749894 17.7828 0 0
0.00749894 56.2341 0 0
0.00749894 177.828 0 0
0.00749894 562.341 0 0
0.00749894 1778.28 0 0
0.0133352 0.0562341 32.4256 75.1486
0.0133352 0.177828 37.7521 1609.76
0.0133352 0.562341 51.7409 2196.2
0.0133352 1.77828 93.5238 1896.66
0.0133352 5.62341 173.176 181.68
0.0133352 17.7828 0 0
0.0133352 56.2341 0 0
0.0133352 177.828 0 0
0.0133352 562.341 0 0
0.0133352 1778.28 0 0
0.0237137 0.0562341 0 0
0.0237137 0.177828 27.4485 1279.87
0.0237137 0.562341 40.3257 4900.73
0.0237137 1.77828 71.454 5426.22
0.0237137 5.62341 124.508 2021.59
0.0237137 17.7828 224.672 82.5815
0.0237137 56.2341 0 0
0.0237137 177.828 0 0
0.0237137 562.341 0 0
0.0237137 1778.28 0 0
0.0421697 0.0562341 0 0
0.0421697 0.177828 16.4668 133.175
0.0421697 0.562341 31.6914 7151.99
0.0421697 1.77828 52.8672 10958.3
0.0421697 5.62341 92.4761 8825.34
0.0421697 17.7828 154.536 578.072
0.0421697 56.2341 0 0
0.0421697 177.828 0 0
0.0421697 562.341 0 0
0.0421697 1778.28 0 0
0.0749894 0.0562341 0 0
0.0749894 0.177828 0 0
0.0749894 0.562341 29.3852 4979.72
0.0749894 1.77828 42.0941 18028.3
0.0749894 5.62341 69.9578 20765.8
0.0749894 17.7828 120.627 6091.56
0.0749894 56.2341 250.838 115.615
0.0749894 177.828 0 0
0.0749894 562.341 0 0
0.0749894 1778.28 0 0
0.133352 0.0562341 0 0
0.133352 0.177828 0 0
0.133352 0.562341 27.0385 433.986
0.133352 1.77828 33.2751 19266.7
0.133352 5.62341 53.4064 36188.7
0.133352 17.7828 92.6116 23201.8
0.133352 56.2341 173.206 1066.57
0.133352 177.828 0 0
0.133352 562.341 0 0
0.133352 1778.28 0 0
0.237137 0.0562341 0 0
0.237137 0.177828 0 0
0.237137 0.562341 0 0
0.237137 1.77828 29.4032 6827.12
0.237137 5.62341 42.5197 38121.8
0.237137 17.7828 71.4494 40727.6
0.237137 56.2341 123.804 9885.97
0.237137 177.828 210.115 16.5164
0.237137 562.341 0 0
0.237137 1778.28 0 0
0.421697 0.0562341 0 0
0.421697 0.177828 0 0
0.421697 0.562341 0 0
0.421697 1.77828 26.7801 49.5493
0.421697 5.62341 34.3318 13520.4
0.421697 17.7828 56.2953 29931
0.421697 56.2341 96.7237 17338.8
0.421697 177.828 195.49 858.85
0.421697 562.341 0 0
0.421697 1778.28 0 0
0.749894 0.0562341 0 0
0.749894 0.177828 0 0
0.749894 0.562341 0 0
0.749894 1.77828 0 0
0.749894 5.62341 21.8886 324.098
0.749894 17.7828 42.3604 3475.64
0.749894 56.2341 77.6779 4847.76
0.749894 177.828 132.725 772.058
0.749894 562.341 0 0
0.749894 1778.28 0 0
1.33352 0.0562341 0 0
1.33352 0.177828 0 0
1.33352 0.562341 0 0
1.33352 1.77828 0 0
1.33352 5.62341 0 0
1.33352 17.7828 21.0144 16.5163
1.33352 56.2341 0 0
1.33352 177.828 0 0
1.33352 562.341 0 0
1.33352 1778.28 0 0
2.37137 0.0562341 0 0
2.37137 0.177828 0 0
2.37137 0.562341 0 0
2.37137 1.77828 0 0
2.37137 5.62341 0 0
2.37137 17.7828 0 0
2.37137 56.2341 0 0
2.37137 177.828 0 0
2.37137 562.341 0 0
2.37137 1778.28 0 0
4.21697 0.0562341 0 0
4.21697 0.177828 0 0
4.21697 0.562341 0 0
4.21697 1.77828 0 0
4.21697 5.62341 0 0
4.21697 17.7828 0 0
4.21697 56.2341 0 0
4.21697 177.828 0 0
4.21697 562.341 0 0
4.21697 1778.28 0 0
7.49894 0.0562341 0 0
7.49894 0.177828 0 0
7.49894 0.562341 0 0
7.49894 1.77828 0 0
7.49894 5.62341 0 0
7.49894 17.7828 0 0
7.49894 56.2341 0 0
7.49894 177.828 0 0
7.49894 562.341 0 0
7.49894 1778.28 0 0
