x q2 Enu #nu
0.000133352 0.0562341 0 0
0.000133352 0.177828 0 0
0.000133352 0.562341 0 0
0.000133352 1.77828 0 0
0.000133352 5.62341 0 0
0.000133352 17.7828 0 0
0.000133352 56.2341 0 0
0.000133352 177.828 0 0
0.000133352 562.341 0 0
0.000133352 1778.28 0 0
0.000237137 0.0562341 0 0
0.000237137 0.177828 0 0
0.000237137 0.562341 0 0
0.000237137 1.77828 0 0
0.000237137 5.62341 0 0
0.000237137 17.7828 0 0
0.000237137 56.2341 0 0
0.000237137 177.828 0 0
0.000237137 562.341 0 0
0.000237137 1778.28 0 0
0.000421697 0.0562341 97.6815 63.2577
0.000421697 0.177828 0 0
0.000421697 0.562341 0 0
0.000421697 1.77828 0 0
0.000421697 5.62341 0 0
0.000421697 17.7828 0 0
0.000421697 56.2341 0 0
0.000421697 177.828 0 0
0.000421697 562.341 0 0
0.000421697 1778.28 0 0
0.000749894 0.0562341 87.5398 63.2575
0.000749894 0.177828 0 0
0.000749894 0.562341 0 0
0.000749894 1.77828 0 0
0.000749894 5.62341 0 0
0.000749894 17.7828 0 0
0.000749894 56.2341 0 0
0.000749894 177.828 0 0
0.000749894 562.341 0 0
0.000749894 1778.28 0 0
0.00133352 0.0562341 67.4716 145.104
0.00133352 0.177828 120.236 119.092
0.00133352 0.562341 0 0
0.00133352 1.77828 0 0
0.00133352 5.62341 0 0
0.00133352 17.7828 0 0
0.00133352 56.2341 0 0
0.00133352 177.828 0 0
0.00133352 562.341 0 0
0.00133352 1778.28 0 0
0.00237137 0.0562341 54.7143 105.43
0.00237137 0.177828 79.617 334.921
0.00237137 0.562341 127.028 21.086
0.00237137 1.77828 0 0
0.00237137 5.62341 0 0
0.00237137 17.7828 0 0
0.00237137 56.2341 0 0
0.00237137 177.828 0 0
0.00237137 562.341 0 0
0.00237137 1778.28 0 0
0.00421697 0.0562341 46.1496 440.229
0.00421697 0.177828 68.3646 467.922
0.00421697 0.562341 99.3317 592.859
0.00421697 1.77828 147.824 21.0858
0.00421697 5.62341 0 0
0.00421697 17.7828 0 0
0.00421697 56.2341 0 0
0.00421697 177.828 0 0
0.00421697 562.341 0 0
0.00421697 1778.28 0 0
0.00749894 0.0562341 41.2027 295.204
0.00749894 0.177828 51.101 848.063
0.00749894 0.562341 85.3301 874.067
0.00749894 1.77828 122.935 228.233
0.00749894 5.62341 0 0
0.00749894 17.7828 0 0
0.00749894 56.2341 0 0
0.00749894 177.828 0 0
0.00749894 562.341 0 0
0.00749894 1778.28 0 0
0.0133352 0.0562341 38.1367 530.382
0.0133352 0.177828 56.3126 1424.34
0.0133352 0.562341 70.6573 1559.23
0.0133352 1.77828 103.931 1733.73
0.0133352 5.62341 156.157 105.43
0.0133352 17.7828 0 0
0.0133352 56.2341 0 0
0.0133352 177.828 0 0
0.0133352 562.341 0 0
0.0133352 1778.28 0 0
0.0237137 0.0562341 46.2495 493.133
0.0237137 0.177828 46.9161 1647.25
0.0237137 0.562341 68.498 3261.36
0.0237137 1.77828 88.3519 4175.29
0.0237137 5.62341 129.92 1028.94
0.0237137 17.7828 0 0
0.0237137 56.2341 0 0
0.0237137 177.828 0 0
0.0237137 562.341 0 0
0.0237137 1778.28 0 0
0.0421697 0.0562341 38.3277 392.316
0.0421697 0.177828 46.0332 2506.51
0.0421697 0.562341 58.4336 5398.09
0.0421697 1.77828 78.5533 8994.58
0.0421697 5.62341 106.285 5086.83
0.0421697 17.7828 176.182 191.061
0.0421697 56.2341 0 0
0.0421697 177.828 0 0
0.0421697 562.341 0 0
0.0421697 1778.28 0 0
0.0749894 0.0562341 62.9894 225.228
0.0749894 0.177828 50.3488 2513.34
0.0749894 0.562341 54.5762 8235.23
0.0749894 1.77828 67.5125 15106.3
0.0749894 5.62341 89.8804 14351.5
0.0749894 17.7828 130.682 2537.88
0.0749894 56.2341 0 0
0.0749894 177.828 0 0
0.0749894 562.341 0 0
0.0749894 1778.28 0 0
0.133352 0.0562341 57.8486 133.99
0.133352 0.177828 50.9117 922.1
0.133352 0.562341 49.7574 8702.01
0.133352 1.77828 60.6868 23533.3
0.133352 5.62341 77.3434 28852.8
0.133352 17.7828 107.999 11364
0.133352 56.2341 172.519 269.202
0.133352 177.828 0 0
0.133352 562.341 0 0
0.133352 1778.28 0 0
0.237137 0.0562341 0 0
0.237137 0.177828 35.1112 571.588
0.237137 0.562341 48.6884 6494.32
0.237137 1.77828 55.478 23857.5
0.237137 5.62341 67.0149 37343.8
0.237137 17.7828 92.7446 27122.3
0.237137 56.2341 135.085 2970.27
0.237137 177.828 0 0
0.237137 562.341 0 0
0.237137 1778.28 0 0
0.421697 0.0562341 0 0
0.421697 0.177828 87.341 126.515
0.421697 0.562341 49.5319 2153.49
0.421697 1.77828 54.0387 13472.8
0.421697 5.62341 61.6565 26879.4
0.421697 17.7828 80.0404 26234.2
0.421697 56.2341 111.724 7313.43
0.421697 177.828 185.998 63.258
0.421697 562.341 0 0
0.421697 1778.28 0 0
0.749894 0.0562341 0 0
0.749894 0.177828 0 0
0.749894 0.562341 47.9778 460.704
0.749894 1.77828 55.5702 2118.15
0.749894 5.62341 58.9294 4465.37
0.749894 17.7828 69.9371 5523.12
0.749894 56.2341 102.133 2721.63
0.749894 177.828 141.826 105.43
0.749894 562.341 0 0
0.749894 1778.28 0 0
1.33352 0.0562341 0 0
1.33352 0.177828 0 0
1.33352 0.562341 0 0
1.33352 1.77828 97.4246 21.0858
1.33352 5.62341 43.3379 63.2579
1.33352 17.7828 57.6212 14.8992
1.33352 56.2341 0 0
1.33352 177.828 0 0
1.33352 562.341 0 0
1.33352 1778.28 0 0
2.37137 0.0562341 0 0
2.37137 0.177828 0 0
2.37137 0.562341 0 0
2.37137 1.77828 0 0
2.37137 5.62341 0 0
2.37137 17.7828 0 0
2.37137 56.2341 0 0
2.37137 177.828 0 0
2.37137 562.341 0 0
2.37137 1778.28 0 0
4.21697 0.0562341 0 0
4.21697 0.177828 0 0
4.21697 0.562341 0 0
4.21697 1.77828 0 0
4.21697 5.62341 0 0
4.21697 17.7828 0 0
4.21697 56.2341 0 0
4.21697 177.828 0 0
4.21697 562.341 0 0
4.21697 1778.28 0 0
7.49894 0.0562341 0 0
7.49894 0.177828 0 0
7.49894 0.562341 0 0
7.49894 1.77828 0 0
7.49894 5.62341 0 0
7.49894 17.7828 0 0
7.49894 56.2341 0 0
7.49894 177.828 0 0
7.49894 562.341 0 0
7.49894 1778.28 0 0
